Average Slip-Rolling ratio    
 Temperature(K)     NC/SLG              NC/FLG              NT/SLG              NT/FLG
         5          2.37952369          2.55272653          2.67027446          2.67065052 
        10          2.42740475          2.49984396          2.70140788          2.65732414 
        30          2.55884342          2.48120707          2.67363364          2.70097851 
        50          2.48059392          2.56108817          2.70207771          2.68755621 
        75          2.54741101          2.48218548          2.70937577          2.71988154 
       100          2.46691132          2.48958583          2.70436342          2.69345810 
       150          2.46609469          2.50113553          2.72311099          2.70140277 
       200          2.56730977          2.47805112          2.68811271          2.70992376 
       300          2.50756043          2.47363714          2.71373528          2.69724568 
       400          2.53323669          2.52435560          2.66322205          2.69064611 
       500          2.54317164          2.51637957          2.71574669          2.72341712 
       600          2.49502187          2.51119311          2.69745935          2.73477119 
       700          2.48181185          2.53682844          2.74119231          2.72981116 
       800          2.52796696          2.55412917          2.69352557          2.73411674 
       900          2.47894960          2.50462376          2.75342044          2.68609015 
      1000          2.53105042          2.50147237          2.74138621          2.70939606 
