Average Correlation of wheels' rotation    
 Temperature(K)     NC/SLG              NC/FLG              NT/SLG              NT/FLG
         5          0.01697579          0.01443743          0.00948743          0.01162606 
        10          0.00654780          0.00683446          0.01621416          0.01023835 
        30          0.00504617          0.00468326          0.00795027          0.00928941 
        50          0.00412199          0.00471740          0.00449225          0.00577582 
        75          0.00384279          0.00322565          0.00230148          0.00630591 
       100          0.00350252          0.00250557          0.00443422          0.00489563 
       150          0.00275208          0.00205637          0.00658243          0.00432743 
       200          0.00493572          0.00356112          0.00471743          0.00351112 
       300          0.00396579          0.00452175          0.00412536          0.00384710 
       400          0.00412428          0.00370969          0.00741684          0.00622398 
       500          0.00366739          0.00381116          0.00587620          0.00456956 
       600          0.00430545          0.00398281          0.00607602          0.00696217 
       700          0.00399874          0.00324797          0.00449072          0.00638238 
       800          0.00311709          0.00424220          0.00501630          0.00568049 
       900          0.00332043          0.00425305          0.00497234          0.00489294 
      1000          0.00460751          0.00436578          0.00704445          0.00553382 
