Diffusion coefficient of Nanocar translational motion    
 Temperature(K)     SLG : D(A2/ps)      FLG : D(A2/ps)
         5          0.00069170          0.00000122 
        10          0.00026770          0.00001629 
        30          0.00815617          0.00756080 
        50          0.06479415          0.02182803 
        75          0.20406761          0.07017888 
       100          0.35398202          0.22251703 
       150          0.93765377          0.50110447 
       200          1.00669399          1.47171371 
       300          4.84458913          3.33474441 
       400          7.30479692          5.84157701 
       500         17.62757872         10.21675141 
       600         24.14569033         13.55724036 
