Diffusion coefficient of Nanotruck translational motion    
 Temperature(K)     SLG : D(A2/ps)      FLG : D(A2/ps)
         5          0.00016763          0.00001766 
        10          0.00067027          0.00012795 
        30          0.01013624          0.00827077 
        50          0.05235502          0.04229402 
        75          0.27418366          0.11926936 
       100          0.42157504          0.34660382 
       150          0.95073520          0.66404898 
       200          2.43103525          1.64083288 
       300          4.58338703          3.47679120 
       400         10.47149582          7.33971623 
       500         15.75814968         11.31612946 
       600         22.10091541         15.14264158 
