Diffusion coefficient of translational motion on SLG    
 Temperature(K)     C60 : D(A2/ps)      NC : D(A2/ps)       NT : D(A2/ps)
         5          0.38150587          0.00069170          0.00016763  
        10          0.60501645          0.00026770          0.00067027  
        30          0.95075026          0.00815617          0.01013624  
        50          1.42800041          0.06479415          0.05235502  
        75          2.97039197          0.20406761          0.27418366  
       100          8.26325296          0.35398202          0.42157504  
       150         20.75543467          0.93765377          0.95073520  
       200         34.92731262          1.00669399          2.43103525  
       300         46.27633284          4.84458913          4.58338703  
       400         46.08296807          7.30479692         10.47149582  
       500         56.67342104         17.62757872         15.75814968  
       600        120.34810546         24.14569033         22.10091541  
