Diffusion coefficient of translational motion on FLG    
 Temperature(K)     C60 : D(A2/ps)      NC : D(A2/ps)       NT : D(A2/ps)
         5          0.29229870          0.00000122          0.00001766 
        10          0.23338078          0.00001629          0.00012795 
        30          1.08347815          0.00756080          0.00827077 
        50          3.40653890          0.02182803          0.04229402 
        75          5.26984007          0.07017888          0.11926936 
       100          9.04442271          0.22251703          0.34660382 
       150         15.02109360          0.50110447          0.66404898 
       200         34.91392436          1.47171371          1.64083288 
       300         56.68056194          3.33474441          3.47679120 
       400         62.49527692          5.84157701          7.33971623 
       500         78.14403244         10.21675141         11.31612946 
       600        147.97459533         13.55724036         15.14264158 
