Arrhenius plot of translational motion    
    1/T (1/K)      NC/SLG :lnD(A2/ps)  NC/FLG :lnD(A2/ps)  NT/SLG :lnD(A2/ps)  NT/FLG :lnD(A2/ps) 
    0.0200         -3.11096689         -4.10682110         -3.06403637         -3.25443924 
    0.0133         -1.57924753         -2.40885949         -1.33277548         -1.95530547 
    0.0100         -1.24099482         -1.51964310         -0.80234430         -1.36482655 
    0.0067         -0.08740124         -0.71589525          0.06567511         -0.52550860 
    0.0050          0.53693736          0.32327443          0.67846886          0.61406739 
    0.0033          1.67176003          1.25432518          1.69301462          1.16261563 
    0.0025          2.06961671          1.58079854          2.55933188          1.93743150 
    0.0020          2.63263710          2.14585387          2.88285318          2.44431590 
    0.0017          3.21597786          2.67996158          2.99345892          2.57391953 
    0.0014          3.23609085          2.95300949          3.19657122          3.15542611 
    0.0013          3.28129541          3.17967918          3.36012789          3.40022903 
    0.0011          3.30788971          3.55438239          3.68469527          3.92288256 
    0.0010          3.61338155          3.48610545          3.51278649          3.82622815 
