Diffusion coefficient of pivoting motion    
 Temperature(K)     NC/SLG : D(A2/ps)  NC/FLG : D(A2/ps)  NT/SLG : D(A2/ps)  NT/FLG : D(A2/ps)  
        5           0.00000000          0.00000003         -0.00000014          0.00000025 
        10          0.00000070          0.00000065         -0.00000005          0.00000001 
        30          0.00004920          0.00003146          0.00006333          0.00004201 
        50          0.00038974          0.00016844          0.00050383          0.00033214 
        75          0.00090061          0.00057418          0.00162641          0.00113134 
       100          0.00175074          0.00142453          0.00322926          0.00197512 
       150          0.00540645          0.00309399          0.01015027          0.00414991 
       200          0.00630425          0.00779293          0.01913589          0.01004164 
       300          0.02376345          0.01833815          0.04042321          0.02765864 
       400          0.02601142          0.02674335          0.10677074          0.09181882 
       500          0.04232374          0.03343801          0.14944843          0.11340500 
       600          0.04162751          0.07184071          0.19617108          0.16629553 
