Arrhenius plot of pivoting motion    
    1/T (1/K)      NC/SLG :lnD(A2/ps)  NC/FLG :lnD(A2/ps)  NT/SLG :lnD(A2/ps)  NT/FLG :lnD(A2/ps) 
    0.0200         -7.85003641         -8.68892720         -7.59328058         -8.00994747 
    0.0133         -7.01243530         -7.46257363         -6.42138171         -6.78434901 
    0.0100         -6.34771893         -6.55391291         -5.73550179         -6.22712842 
    0.0067         -5.22016275         -5.77829499         -4.59025538         -5.48466912 
    0.0050         -5.06653071         -4.85453836         -3.95618982         -4.60101516 
    0.0033         -3.73960663         -3.99877170         -3.20835111         -3.58781700 
    0.0025         -3.64921963         -3.62146958         -2.23707140         -2.38793794 
    0.0020         -3.16240721         -3.39806212         -1.90080390         -2.75820915 
    0.0017         -3.17899396         -2.63330392         -1.62876813         -1.79398877 
    0.0014         -2.70597609         -2.40151689         -1.99840932         -1.86056128 
    0.0013         -2.55875207         -1.93124788         -1.77016715         -1.62025072 
    0.0011         -2.62388668         -2.08597405         -1.25666868         -1.34564894 
    0.0010         -2.57882967         -2.05271463         -1.46375026         -0.90456166 
