Diffusion coefficient of Wheels' rotation in Nanocar    
 Temperature(K)     SLG : D(A2/ps)      FLG : D(A2/ps)
         5          0.00001186          0.00000387 
        10          0.00000617          0.00000789 
        30          0.00002628          0.00002100 
        50          0.00009378          0.00007783 
        75          0.00018554          0.00011115 
       100          0.00015433          0.00043944 
       150          0.00087383          0.00089397 
       200          0.00499904          0.00404851 
       300          0.03195452          0.03843104 
       400          0.12576280          0.09205615 
       500          0.22017318          0.15798209 
       600          0.31850286          0.21393220 
