Diffusion coefficient of Wheels' rotation in Nanotruck    
 Temperature(K)     SLG : D(A2/ps)      FLG : D(A2/ps)
         5          0.00000425          0.00000279 
        10          0.00000046          0.00000312 
        30          0.00000095          0.00001477 
        50          0.00003941          0.00004585 
        75          0.00025889          0.00010067 
       100          0.00039451          0.00044631 
       150          0.00130849          0.00077655 
       200          0.00247395          0.00186333 
       300          0.01705856          0.01247304 
       400          0.04648921          0.05985411 
       500          0.12110546          0.09328958 
       600          0.18532565          0.17732452 
