Arrhenius plot of Wheels' rotation    
    1/T (1/K)      NC/SLG :lnD(A2/ps)  NC/FLG :lnD(A2/ps)  NT/SLG :lnD(A2/ps)  NT/FLG :lnD(A2/ps) 
    0.0200         -9.27457459         -9.46095263        -10.14158752         -9.99005342 
    0.0133         -8.59223446         -9.10463732         -8.25910681         -9.20367830 
    0.0100         -8.77638659         -7.73001092         -7.83787003         -7.71449210 
    0.0067         -7.04262296         -7.01983864         -6.63888192         -7.16065560 
    0.0050         -5.29850875         -5.50940673         -6.00193850         -6.28539023 
    0.0033         -3.44344176         -3.25888973         -4.07110323         -4.38418606 
    0.0025         -2.07335770         -2.38535654         -3.06853502         -2.81584525 
    0.0020         -1.51334087         -1.84527363         -2.11109354         -2.37204688 
    0.0017         -1.14412383         -1.54209616         -1.68564076         -1.72977377 
    0.0014         -1.33461152         -1.07676713         -1.37790463         -1.25388623 
    0.0013         -0.67036339         -0.87937545         -1.02201861         -1.18892105 
    0.0011         -0.63078383         -0.71622940         -0.92887428         -0.98854229 
    0.0010         -0.06352589         -0.46416518         -0.66912763         -0.88776258 
